Ro	Time	E_SvFs	E
0.58	2.811	0.763449410006	0.763449410006
0.6	2.811	0.756258719934	0.756258719934
0.62	2.811	0.748298080779	0.748298080779
0.64	2.811	0.740353872703	0.740353872703
0.66	2.811	0.730454058585	0.730454058585
0.68	2.811	0.72537999949	0.72537999949
0.7	2.811	0.70894168375	0.70894168375
0.72	2.811	0.697372620335	0.697372620335
0.74	2.811	0.683933929014	0.683933929014
0.76	2.811	0.670645378212	0.670645378212
0.78	2.811	0.656761844941	0.656761844941
0.8	2.811	0.642594874492	0.642594874492
0.82	2.811	0.628061194795	0.628061194795
0.84	2.811	0.613291148997	0.613291148997
0.86	2.811	0.598283022059	0.598283022059
0.88	2.811	0.583065206118	0.583065206118
0.9	2.811	0.567927607808	0.567927607808
0.92	2.811	0.550364677351	0.550364677351
0.94	2.811	0.534035324394	0.534035324394
0.96	2.811	0.518882359855	0.518882359855
0.98	2.811	0.501519094506	0.501519094506
1.0	2.811	0.48413357872	0.48413357872
0.0	2.812	0.767431059322	0.767431059322
0.02	2.812	0.775759999077	0.775759999077
0.04	2.812	0.773995355695	0.773995355695
0.06	2.812	0.777727146436	0.777727146436
0.08	2.812	0.780572285563	0.780572285563
0.1	2.812	0.78380280918	0.78380280918
0.12	2.812	0.78669155655	0.78669155655
0.14	2.812	0.789907267471	0.789907267471
0.16	2.812	0.792158375136	0.792158375136
0.18	2.812	0.799749999038	0.799749999038
0.2	2.812	0.797016870063	0.797016870063
0.22	2.812	0.799571346595	0.799571346595
0.24	2.812	0.801077331381	0.801077331381
0.26	2.812	0.802711236465	0.802711236465
0.28	2.812	0.803894705791	0.803894705791
0.3	2.812	0.804740052263	0.804740052263
0.32	2.812	0.805160743436	0.805160743436
0.34	2.812	0.805152882479	0.805152882479
0.36	2.812	0.804688764067	0.804688764067
0.38	2.812	0.803750855097	0.803750855097
0.4	2.812	0.802318979982	0.802318979982
0.42	2.812	0.800374437937	0.800374437937
0.44	2.812	0.797898918889	0.797898918889
0.46	2.812	0.794875074063	0.794875074063
0.48	2.812	0.791287399461	0.791287399461
0.5	2.812	0.787121609265	0.787121609265
0.52	2.812	0.782368384915	0.782368384915
0.54	2.812	0.777016966195	0.777016966195
0.56	2.812	0.771074627421	0.771074627421
0.58	2.812	0.764520872555	0.764520872555
0.6	2.812	0.757434200529	0.757434200529
0.62	2.812	0.749651193446	0.749651193446
0.64	2.812	0.741726640915	0.741726640915
0.66	2.812	0.732173102342	0.732173102342
0.68	2.812	0.725380000145	0.725380000145
0.7	2.812	0.710215273522	0.710215273522
0.72	2.812	0.697852465201	0.697852465201
0.74	2.812	0.683942853751	0.683942853751
0.76	2.812	0.670017647216	0.670017647216
0.78	2.812	0.655561260411	0.655561260411
0.8	2.812	0.640787496196	0.640787496196
0.82	2.812	0.625650250816	0.625650250816
0.84	2.812	0.610225986021	0.610225986021
0.86	2.812	0.594533237115	0.594533237115
0.88	2.812	0.578474456702	0.578474456702
0.9	2.812	0.56245418055	0.56245418055
0.92	2.812	0.543673170564	0.543673170564
0.94	2.812	0.527046829008	0.527046829008
0.96	2.812	0.51255345929	0.51255345929
0.98	2.812	0.49541295184	0.49541295184
1.0	2.812	0.478394924368	0.478394924368
0.0	2.813	0.766843671235	0.766843671235
0.02	2.813	0.770040000066	0.770040000066
0.04	2.813	0.773362135097	0.773362135097
0.06	2.813	0.776901436134	0.776901436134
0.08	2.813	0.78011484892	0.78011484892
0.1	2.813	0.783314053786	0.783314053786
0.12	2.813	0.786227727841	0.786227727841
0.14	2.813	0.789061948324	0.789061948324
0.16	2.813	0.79149866077	0.79149866077
0.18	2.813	0.793850000072	0.793850000072
0.2	2.813	0.796428702912	0.796428702912
0.22	2.813	0.798874989183	0.798874989183
0.24	2.813	0.800843044926	0.800843044926
0.26	2.813	0.802573875222	0.802573875222
0.28	2.813	0.803880533988	0.803880533988
0.3	2.813	0.80480509228	0.80480509228
0.32	2.813	0.805298682779	0.805298682779
0.34	2.813	0.805354421685	0.805354421685
0.36	2.813	0.804949770284	0.804949770284
0.38	2.813	0.804068536419	0.804068536419
0.4	2.813	0.802691973342	0.802691973342
0.42	2.813	0.800802474005	0.800802474005
0.44	2.813	0.798382567556	0.798382567556
0.46	2.813	0.795415928686	0.795415928686
0.48	2.813	0.791887664942	0.791887664942
0.5	2.813	0.787785110951	0.787785110951
0.52	2.813	0.783098657934	0.783098657934
0.54	2.813	0.777821858899	0.777821858899
0.56	2.813	0.771956440025	0.771956440025
0.58	2.813	0.765498407458	0.765498407458
0.6	2.813	0.758491306593	0.758491306593
0.62	2.813	0.750850387452	0.750850387452
0.64	2.813	0.742907393595	0.742907393595
0.66	2.813	0.73365322954	0.73365322954
0.68	2.813	0.725380000181	0.725380000181
0.7	2.813	0.711252890372	0.711252890372
0.72	2.813	0.698146275846	0.698146275846
0.74	2.813	0.68380699719	0.68380699719
0.76	2.813	0.669284192071	0.669284192071
0.78	2.813	0.654283026674	0.654283026674
0.8	2.813	0.638928991601	0.638928991601
0.82	2.813	0.623208730702	0.623208730702
0.84	2.813	0.607156890103	0.607156890103
0.86	2.813	0.590799165883	0.590799165883
0.88	2.813	0.573984441827	0.573984441827
0.9	2.813	0.557115052487	0.557115052487
0.92	2.813	0.53751824179	0.53751824179
0.94	2.813	0.520601758134	0.520601758134
0.96	2.813	0.506377341063	0.506377341063
0.98	2.813	0.489448450519	0.489448450519
1.0	2.813	0.472719567976	0.472719567976
0.0	2.814	0.766332157743	0.766332157743
0.02	2.814	0.764670000753	0.764670000753
0.04	2.814	0.772801746427	0.772801746427
0.06	2.814	0.776134771897	0.776134771897
0.08	2.814	0.779727243615	0.779727243615
0.1	2.814	0.782885770326	0.782885770326
0.12	2.814	0.785833699754	0.785833699754
0.14	2.814	0.788275622038	0.788275622038
0.16	2.814	0.790910625666	0.790910625666
0.18	2.814	0.788320000788	0.788320000788
0.2	2.814	0.795905088836	0.795905088836
0.22	2.814	0.798223969071	0.798223969071
0.24	2.814	0.800656381471	0.800656381471
0.26	2.814	0.80247104681	0.80247104681
0.28	2.814	0.803897484335	0.803897484335
0.3	2.814	0.804893279977	0.804893279977
0.32	2.814	0.805454378548	0.805454378548
0.34	2.814	0.80556800584	0.80556800584
0.36	2.814	0.805217934015	0.805217934015
0.38	2.814	0.804388612202	0.804388612202
0.4	2.814	0.803062725276	0.803062725276
0.42	2.814	0.801223423123	0.801223423123
0.44	2.814	0.798853863103	0.798853863103
0.46	2.814	0.795938394205	0.795938394205
0.48	2.814	0.792462473507	0.792462473507
0.5	2.814	0.788414474198	0.788414474198
0.52	2.814	0.783784372659	0.783784372659
0.54	2.814	0.778568623576	0.778568623576
0.56	2.814	0.772764498592	0.772764498592
0.58	2.814	0.766379696562	0.766379696562
0.6	2.814	0.759431857918	0.759431857918
0.62	2.814	0.751892524723	0.751892524723
0.64	2.814	0.743949190405	0.743949190405
0.66	2.814	0.734892844811	0.734892844811
0.68	2.814	0.726470000157	0.726470000157
0.7	2.814	0.712053303985	0.712053303985
0.72	2.814	0.698307911298	0.698307911298
0.74	2.814	0.683524591004	0.683524591004
0.76	2.814	0.668449032201	0.668449032201
0.78	2.814	0.65292823582	0.65292823582
0.8	2.814	0.637023232687	0.637023232687
0.82	2.814	0.62074299044	0.62074299044
0.84	2.814	0.604093644726	0.604093644726
0.86	2.814	0.587096237253	0.587096237253
0.88	2.814	0.569606719989	0.569606719989
0.9	2.814	0.551930601067	0.551930601067
0.92	2.814	0.531829098787	0.531829098787
0.94	2.814	0.514630901429	0.514630901429
0.96	2.814	0.500378115851	0.500378115851
0.98	2.814	0.48364526299	0.48364526299
1.0	2.814	0.467130937321	0.467130937321
0.0	2.815	0.765921214106	0.765921214106
0.02	2.815	0.763829999921	0.763829999921
0.04	2.815	0.772348345758	0.772348345758
0.06	2.815	0.775575488413	0.775575488413
0.08	2.815	0.779423252974	0.779423252974
0.1	2.815	0.782546099089	0.782546099089
0.12	2.815	0.785523721503	0.785523721503
0.14	2.815	0.787701130188	0.787701130188
0.16	2.815	0.79043101297	0.79043101297
0.18	2.815	0.78744999993	0.78744999993
0.2	2.815	0.795482035802	0.795482035802
0.22	2.815	0.797768726065	0.797768726065
0.24	2.815	0.800528443199	0.800528443199
0.26	2.815	0.802417231689	0.802417231689
0.28	2.815	0.803949217274	0.803949217274
0.3	2.815	0.805007536343	0.805007536343
0.32	2.815	0.805629160353	0.805629160353
0.34	2.815	0.805794522643	0.805794522643
0.36	2.815	0.805493738936	0.805493738936
0.38	2.815	0.80471135055	0.80471135055
0.4	2.815	0.803431332983	0.803431332983
0.42	2.815	0.801637250997	0.801637250997
